genes,name,source,SystemsTerm,NonSystemsTerm,Systems_Publications,Cancer_Publications,MutationNumber,GeneNumber
YY1|RASSF1|RPL5|KAT2B|CDKN2A|UBE2D1|MAPK14|AKT1|DYRK2|ABL1|NEDD8|DAXX|SERPINA2|PPM1D|SKP2|USP7|ATM|RPL23|FBXO11|CSNK1D|TP53AIP1|MAPK8|MAPK9|CHEK2|CHEK1|TTC5|KMT5A|TRIM28|PRKCD|PRMT5|CSNK1G2|CSNK1G3|CSNK1G1|RPL11|SMYD2|CCNA2|MDM2|EP300|MDM4|SETD7|KAT8|E4F1|TP53|CSNK1A1|HIPK2|PPP2CA|KAT5|GSK3B|PTPA|CDK2|PDZD2|HUWE1|CSE1L|PPP1R13L|CCNG1|CSNK1E|CREBBP,p53 pathway,PID,"(p53 AND cancer) AND (""systems biology"" OR computational)",(p53 AND cancer),976,70326,867,57
TGFA|AREG|ERBB4|ERBB3|ERBB2|EGFR|NRG4|HBEGF|EREG|BTC|NRG1|HSP90AA1|NRG3|NRG2|EGF,ErbB receptor signaling network,PID,"(erbb AND cancer) AND (""systems biology"" OR computational)",(erbb AND cancer),657,49752,299,15
BCL2|BAK|BAX|BCL2L11|MAP3K7|IKBKB|IKBKG|NFKBIA|RELA|NFKB1|FOXO3|CREB1|AKT1|MAP2K1|MAP2K2|MAPK1|MAPK3|BRAF|GRB2|CASP3|SOS1|TNF|TNFRSF1A|TRADD|TRAF2|FOXO1|BAD|RPS6KA1|NRAS|XIAP|CASP7|CASP9,Inhibition of Apoptosis,Signor,"(apoptosis inhibition AND cancer) AND (""systems biology"" OR computational)",(apoptosis inhibition AND cancer),482,48145,229,32
EXOC4|HRAS|INSR|IRS1|FOXO3|AKT1|AKT2|VTRNA2-1|SORBS1|CRK|CAV1|PIK3CA|RPS6KB1|PARD6A|SGK1|DOK1|SOS1|PIK3R1|PRKCI|SHC1|RHOQ|PRKCZ|SH2B2|F2RL2|TRIP10|EXOC6|PTPN1|RAPGEF1|RASA1|EXOC7|EXOC2|EXOC3|INPP5D|NCK1|NCK2|EXOC5|GRB10|EXOC8|GRB14|INS|GRB2|EIF4EBP1|PTPRA|PDPK1|PTPN11|SCNN1A|RHEB|MTOR|RPTOR|AKT1|TSC1|TSC2|GYS1|SREBF1|EIF4E|PTEN|PIK3CB|MAP2K1|MAP2K2|MAPK1|MAPK3|PDPK1|SGK1|FOXO3|RAF1|IRS1|GRB2|GSK3B|SLC2A4|PDX1|SLC2A2|EIF4EBP1|PTPN1|INSR|INS|MTOR|RPS6KB1|JUN|HRAS|SOS1,Insulin Pathway,PID,"(insulin AND cancer) AND (""systems biology"" OR computational)",(insulin AND cancer),317,38201,732,80
HDAC1|HSF2|HDAC4|PHB2|TFF1|ATP5J|MAGEC3|TRIM59|ANP32A|DSCAM|NCOR2|NCOR1|XBP1|NCOA2|DDX17|GREB1|NCOA1|AXIN2|CALCOCO1|NR0B1|CD82|JUN|APBB1|DDX54|SMAD4|PGR|LCOR|AP1B1|MTA1|ABCA3|MPEG1|KLRC3|NCOA3|COL18A1|SAFB|SOD1|CTSD|PDIA2|NEDD8|CHUK|ERVH48-1|POU4F2|SET|EBAG9|UBA3|ESR2|EP300|MYC|NCOA7|UBE2M|PRDM15|CEBPB|RNF219-AS1|PCNA-AS1|ESR1|CCND1|SFI1|BRCA1P1|NRIP1|PTP4A2P1|MBD4|STAT5A|SRA1|NR0B2|CSRP3,Validated nuclear estrogen receptor alpha network,PID,"(""estrogen receptor"" AND cancer) AND (""systems biology"" OR computational)","(""estrogen receptor"" AND cancer)",441,30489,663,65
PRKCI|MAP3K1|CRKL|HRAS|GAB2|RAP1B|RAP1A|GAB1|CTNNB1|MAP2K2|MAP2K1|SOS1|WASL|MAP2K4|CRK|PTPN2|PTPN1|MUC20|SH3GL2|RPTOR|NCOA3|SNAI1|VTRNA2-1|INPPL1|PIK3CA|ARHGEF4|EGR1|JUN|ARF6|PARD6A|MAPK3|ETS1|RANBP9|AKT1S1|PIK3R1|CDH1|PXN|MAPK8|PTK2|SH3KBP1|MAPK1|NUMBL|RNASE1|RAB5A|SHC1|EPS15|KPNB1|HGS|F2RL2|LAMP5|PRKCZ|MTOR|BCAR1|APC|HGF|INPP5D|RHOA|MLST8|RANBP10|CTNNA1|PAK1|EIF4E3|DEPTOR|NCK1|NCK2|AKT1|PTPN11|AKT2|PLCG1|RIN2|MET|GRB2|EIF4EBP1|BRAF|PAK4|PDPK1|CDC42|PTPRJ|PAK2|RAPGEF1,Signaling events mediated by Hepatocyte Growth Factor Receptor (c-Met),PID,"(MET AND cancer) AND (""systems biology"" OR computational)",(MET AND cancer),288,28591,779,80
TRAF3|RPL8|SMARCB1|TXN|TRAF6|POLR2H|MAP3K7|CFLAR|KPNA6|CCNT1|SKP1|CASP10|GAB1|YWHAQ|NFKBIA|BIRC3|PKN1|MAPK3|TNIP2|BID|TAX1BP1|REL|SMPD3|BIRC2|TANK|TBKBP1|PAPOLA|PTPN11|PSMC2|PTK2|GLUL|TNFRSF11A|DCAF7|NR2C2|BTRC|YWHAZ|YWHAE|RB1|MAP4K2|MAPK14|YWHAB|PRC1|PSMD13|PSMD1|NFKB1|CDC37|GTF2I|MADD|POLR1C|USP11|FADD|MAPK1|NFKBIE|TRAF5|RPS6KA5|PSMD7|KCNQ1|RELB|DIABLO|IKBKG|GLG1|MAP2K5|TRIM32|MARK2|HDAC2|OTUD7B|ITCH|PSMD12|IRS1|GLB1|HSPA8|TRAIP|NKIRAS2|CRYAB|ARHGEF1|TXNIP|SMARCC2|SOS2|MAP3K2|BCL7A|CUL1|POLR1B|AKT2|FBXW11|NKIRAS1|TXLNA|RPL6|SOS1|HIST3H3|FANCD2|NSMAF|G3BP2|DOK1|RPS6KB1|PSMD6|AKT1|MAP2K1|KTN1|RFFL|BCL3|NFKBIZ|TNFRSF8|IKBKE|IRAK1BP1|ROMO1|TRAF1|PDCD2|MAP3K11|HSP90AA1|POLR1E|MCM5|MCM7|SRC|STAT1|GRB2|TRIB3|TIFA|ZFAND5|JUNB|SUMO1|PIAS3|PIK3R1|POLR2L|YWHAH|COPS3|ACTL6A|POLR1A|RPL4|ELP1|EED|RPL30|KPNA2|XIAP|ALPL|MAP3K3|CASP3|CASP2|EP300|TRAF7|RXRA|PML|CAV1|NFKB2|RNF11|APAF1|CREBBP|PRKCA|TRPC4AP|ERBB3|RIPK3|TRAPPC9|TNF|PIK3R2|CASP9|CASP7|HDAC1|ERBB2|RIPK1|AKAP8|DDX3X|PRKCE|SMARCA4|TNFRSF1A|SYK|CSNK2A1|PRKCD|RELA|SEC16A|DPF2|CRADD|POLR1D|MAP2K7|HDAC6|SPAG9|COMMD1|RASA3|KPNA3|UBE2D2|PYGL|UNC5CL|FBXW7|MTIF2|RASAL2|RPS11|FAF1|PPP6C|NCF1|MCC|RACK1|RPS13|YWHAG|LRPPRC|MAP3K5|PSMD2|JUN|COPB2|PSMD3|SMARCE1|TRADD|TNFAIP3|MYLK|RFK|BCL2L1|MAP3K14|TAB3|PRKCZ|NLRP4|UBE2D3|BAX|MYL9|SMARCC1|TAB1|FKBP5|FLNA|TAB2|IQGAP2|CDK9|USP2|FBL|PEG3|RNF25|TBK1|TRAF4|MAP3K8|CASP8|IKBKB|TNFRSF1B|ZBTB17|P08107|PPP1R13L|CHUK|TRAF2|TRAP1|COPS5|PSMC1|PSMB5|PSMC3|CYBA|UBE2I|NUPR1|BRINP1|BAG4|MAPK8|NFKBIB|HSPB1|MAP2K4|HSP90AB1|MAP3K1|PFDN2|MAPK9|CDC34||BID|BAK|BAX|RIPK1|IKBKB|NFKBIA|RELA|NFKB1|CASP3|JUN|TRAF2|MAP3K5|MAP3K1|MAP2K4|MAPK8|MAP2K7|MAPK14|MAP2K3|BAG4|TNFRSF1A|TNFA|TRADD|CASP8|FADD,TNF-alpha Signalling Pathway,NetPath,"((TNFa OR ""TNF alpha"") AND cancer) AND (""systems biology"" OR computational)","((TNFa OR ""TNF alpha"") AND cancer)",149,27875,2311,276
MAP4K1|NFATC1|DAPP1|CD72|NFKBIB|PAG1|HRAS|NFKBIA|PTPN6|IKBKB|AKT1|MAP2K1|IKBKG|DEFB119|CD79B|ETS1|BCR|CD79A|CALM2|CSK|PIK3CA|MAP3K1|JUN|MAP3K7|BCL10|MAPK3|DOK1|PIK3R1|NFKB1|MAPK8|MALT1|BLNK|RNASE1|LYN|SHC1|TRAF6|FOS|CD22|CARD11|CAMK2G|FCGR2B|CHUK|PLCG2|IBTK|PPP3CA|SH3BP5|RASA1|CSNK2A1|CALM3|MAPK14|BCL6|INPP5D|SOS1|BCL2A1|SYK|GRB2|VAV2|PRRT2|MAPK1|ELK1|PTPRC|BRAF|PDPK1|PPP3CB|PPP3CC|POU2F2|BTK|CD19|CMTM3|CRKL|CDX2|IKBKB|PTK2B|IKBKG|PKD2L1|ADD1|UXT|COL11A2|MAP3K7|ATP2B4|STAP1|GLP1R|LYN|PIP4K2A|PIP4K2B|IFITM1|SHC1|CD22|CREB1|GIF|KLK3|MAN1A1|SOS2|PTPN18|CD5|SYK|CCND3|CCND2|GSK3A|GSK3B|GNG4|GRB2|MMAB|ASS1P2|RAPGEF1|RASGRP3|CD1D|NFKBIA|GAB1|DNM2|CRK|MAPKAPK2|PIK3R2|PIK3R1|LINC00441|GTF2I|DLX2|CSK|FOS|CHUK|CNGA3|BLK|ITPR2|BLVRB|BCAR1|PTPN6|CR2|RPS6KA1|RNASEH2A|VAV1|CBL|LCK|BTK|CD19|RPS6KB1|FOSB|MAPK14|RPS6|SH3BP2|HCK|CD79A|NEDD9|CD81|SLA2|CTNNA1|MAPK3|MAPK1|CST2|MAPK8|RRAS2|CD8A|MC5R|LIME1|SOS1|PIP5K1C|PIP5K1A|DAPP1|TAPBP|CDK2|NMB|CDK6|CDK7|PRKD1|MAP4K1|PTK2|BANK1|CTNNB1|PLCG2|PLCG1|RAP2A|ASS1P10|FRA6G|RAB3IL1|CEBPA|SNORD22|CCNA2|PDE1B|FYN|DOK3|DOK1|HCLS1|PRLHR|CARD11|PRKCB|FCGR2B|SLN|MYRF|PRKCQ|LCP2|CTNS|BCL10|CASP7|TCL1A|CHST15|SELE|CASP9|BRAF|PDPK1|BCL6|SDHD|CD5L|ATF2,BCR signaling pathway,PID,"(BCR AND cancer) AND (""systems biology"" OR computational)",(BCR AND cancer),231,27756,1956,202
USP8|RNASE1|NFATC4|JUN|HRAS|DOCK7|AKT1|MAP2K1|MAPK10|NCOA3|STAT3|PIK3CA|PIK3CB|NRAS|MAPK3|MAPK1|JAK2|NF2|PIK3R1|NRG1|MAPK8|MAPK9|ERBB2|ERBB3|SHC1|FOS|RNF41|LAMP5|MTOR|CHRNA1|KRAS|NRG2|SOS1|MAP2K2|PTPN11|GRB2|PRKACA|BRAF|CHRNE|PPP3CB|CDC42,ErbB2ErbB3 signaling events,PID,"((Erbb2 OR Erbb3) AND cancer) AND (""systems biology"" OR computational)",((Erbb2 OR Erbb3) AND cancer),365,26464,676,41
ETFA|MAP4K3|MAP4K2|MAP4K5|MAP4K4|BAG4|ADAM17|BIRC3|BIRC2|RIPK1|TNIK|MAP2K7|CASP8|SMPD2|NSMAF|MAP3K5|CAV1|LTBR|TANK|STAT1|MAP3K3|MAP3K1|MAP3K7|TRADD|DEFB119|FADD|NFKB1|PRKCI|TRAF1|SQSTM1|RFFL|CHUK|TXN2|MAP2K3|PRKCZ|RACK1|NRK|IKBKB|TNFRSF1B|TNFRSF1A|TAB2|TAB1|TNFAIP3|CYLD|SMPD1|IKBKG,TNF receptor signaling pathway ,PID,"(""TNF"" AND cancer) AND (""systems biology"" OR computational)","(""TNF"" AND cancer)",205,26390,351,46
