Cell_line,Cancer_type
GSM5016035,High
GSM5016045,Average
GSM5016150,Average
GSM5016043,Average
GSM5016113,Average
GSM5016175,High
GSM5016125,Average
GSM5016097,Average
GSM5016068,Average
GSM5016158,High
GSM5016166,Average
GSM5016029,Average
GSM5016066,Average
GSM5016200,Average
GSM5016124,Average
GSM5016094,Average
GSM5016090,Average
GSM5016159,High
GSM5016132,Average
GSM5016208,High
GSM5016134,Average
GSM5016140,High
GSM5016083,Average
GSM5016027,High
GSM5016049,Average
GSM5016174,High
GSM5016155,High
GSM5016202,Average
GSM5016074,High
GSM5016171,High
GSM5016089,Average
GSM5016205,Average
GSM5016025,High
GSM5016156,High
GSM5016086,Average
GSM5016188,Average
GSM5016120,Average
GSM5016101,Average
GSM5016050,Average
GSM5016160,High
GSM5016204,Average
GSM5016185,Average
GSM5016149,Average
GSM5016054,Average
GSM5016153,Average
GSM5016157,Average
GSM5016117,Average
GSM5016130,Average
GSM5016176,Average
GSM5016059,High
GSM5016082,Average
GSM5016055,Average
GSM5016126,Average
GSM5016026,High
GSM5016073,High
GSM5016048,Average
GSM5016041,Average
GSM5016148,Average
GSM5016209,High
GSM5016037,Average
GSM5016092,High
GSM5016064,High
GSM5016058,High
GSM5016042,High
GSM5016194,High
GSM5016210,High
GSM5016163,Average
GSM5016154,High
GSM5016047,Average
GSM5016100,High
GSM5016127,Average
GSM5016131,High
GSM5016178,High
GSM5016206,Average
GSM5016197,High
GSM5016107,High
GSM5016103,Average
GSM5016044,High
GSM5016071,Average
GSM5016141,Average
GSM5016052,Average
GSM5016080,Average
GSM5016096,Average
GSM5016069,Average
GSM5016164,High
GSM5016091,Average
GSM5016102,Average
GSM5016142,High
GSM5016039,Average
GSM5016098,Average
GSM5016169,High
GSM5016172,Average
GSM5016181,High
GSM5016119,High
GSM5016195,Average
GSM5016104,High
GSM5016198,Average
GSM5016115,Average
GSM5016061,High
GSM5016179,Average
GSM5016038,Average
GSM5016033,High
GSM5016093,Average
GSM5016031,High
GSM5016133,High
GSM5016106,Average
GSM5016193,High
GSM5016056,Average
GSM5016146,Average
GSM5016081,Average
GSM5016136,High
GSM5016062,High
GSM5016145,Average
GSM5016129,Average
GSM5016076,Average
GSM5016111,Average
GSM5016184,Average
GSM5016099,Average
GSM5016173,Average
GSM5016040,Average
GSM5016203,High
GSM5016187,High
GSM5016186,Average
GSM5016078,Average
GSM5016070,High
GSM5016084,Average
GSM5016072,Average
GSM5016170,High
GSM5016028,High
GSM5016053,High
GSM5016199,Average
GSM5016060,Average
GSM5016057,High
GSM5016128,Average
GSM5016087,High
GSM5016118,Average
GSM5016165,High
GSM5016122,High
GSM5016182,High
GSM5016137,High
GSM5016190,High
GSM5016152,Average
GSM5016114,Average
GSM5016191,Average
GSM5016151,Average
GSM5016105,High
GSM5016085,High
GSM5016139,High
GSM5016162,Average
